GOID	GO function	GO category
GO:0000001	mitochondrion_inheritance	biological_process
GO:0000002	mitochondrial_genome_maintenance	biological_process
GO:0000003	reproduction	biological_process
GO:0000005	obsolete_ribosomal_chaperone_activity	molecular_function
GO:0000006	high-affinity_zinc_transmembrane_transporter_activity	molecular_function
GO:0000007	low-affinity_zinc_ion_transmembrane_transporter_activity	molecular_function
GO:0000008	obsolete_thioredoxin	molecular_function
GO:0000009	alpha-1-6-mannosyltransferase_activity	molecular_function
GO:0000010	trans-hexaprenyltranstransferase_activity	molecular_function
GO:0000011	vacuole_inheritance	biological_process
GO:0000012	single_strand_break_repair	biological_process
GO:0000014	single-stranded_DNA_endodeoxyribonuclease_activity	molecular_function
GO:0000015	phosphopyruvate_hydratase_complex	cellular_component
GO:0000016	lactase_activity	molecular_function
GO:0000017	alpha-glucoside_transport	biological_process
GO:0000018	regulation_of_DNA_recombination	biological_process
GO:0000019	regulation_of_mitotic_recombination	biological_process
GO:0000020	obsolete_negative_regulation_of_recombination_within_rDNA_repeats	biological_process
GO:0000022	mitotic_spindle_elongation	biological_process
GO:0000023	maltose_metabolic_process	biological_process
GO:0000024	maltose_biosynthetic_process	biological_process
GO:0000025	maltose_catabolic_process	biological_process
GO:0000026	alpha-1-2-mannosyltransferase_activity	molecular_function
GO:0000027	ribosomal_large_subunit_assembly	biological_process
GO:0000028	ribosomal_small_subunit_assembly	biological_process
GO:0000030	mannosyltransferase_activity	molecular_function
GO:0000031	mannosylphosphate_transferase_activity	molecular_function
GO:0000032	cell_wall_mannoprotein_biosynthetic_process	biological_process
GO:0000033	alpha-1-3-mannosyltransferase_activity	molecular_function
GO:0000034	adenine_deaminase_activity	molecular_function
GO:0000035	acyl_binding	molecular_function
GO:0000036	acyl_carrier_activity	molecular_function
GO:0000038	very_long-chain_fatty_acid_metabolic_process	biological_process
GO:0000039	obsolete_plasma_membrane_long-chain_fatty_acid_transporter	molecular_function
GO:0000041	transition_metal_ion_transport	biological_process
GO:0000044	obsolete_ascorbate_stabilization	biological_process
GO:0000045	autophagosome_assembly	biological_process
GO:0000047	obsolete_Rieske_iron-sulfur_protein	molecular_function
GO:0000048	peptidyltransferase_activity	molecular_function
GO:0000049	tRNA_binding	molecular_function
GO:0000050	urea_cycle	biological_process
GO:0000051	obsolete_urea_cycle_intermediate_metabolic_process	biological_process
GO:0000052	citrulline_metabolic_process	biological_process
GO:0000053	argininosuccinate_metabolic_process	biological_process
GO:0000054	ribosomal_subunit_export_from_nucleus	biological_process
GO:0000055	ribosomal_large_subunit_export_from_nucleus	biological_process
GO:0000056	ribosomal_small_subunit_export_from_nucleus	biological_process
GO:0000059	obsolete_protein_import_into_nucleus-_docking	biological_process
GO:0000060	obsolete_protein_import_into_nucleus-_translocation	biological_process
GO:0000061	obsolete_protein_import_into_nucleus-_substrate_release	biological_process
GO:0000062	fatty-acyl-CoA_binding	molecular_function
GO:0000064	L-ornithine_transmembrane_transporter_activity	molecular_function
GO:0000067	obsolete_DNA_replication_and_chromosome_cycle	biological_process
GO:0000070	mitotic_sister_chromatid_segregation	biological_process
GO:0000072	obsolete_M_phase_specific_microtubule_process	biological_process
GO:0000073	initial_mitotic_spindle_pole_body_separation	biological_process
GO:0000075	cell_cycle_checkpoint	biological_process
GO:0000076	DNA_replication_checkpoint	biological_process
GO:0000077	DNA_damage_checkpoint	biological_process
GO:0000078	obsolete_cytokinesis_after_mitosis_checkpoint	biological_process
